event_id,timestamp,recipient,sender,subject,url,attachment,spf,dkim,dmarc,url_reputation,verdict,reason
E00001,2026-09-07 07:03:24,pnakale,training@nust.na,Service notification,https://portal.example.com/1891,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00002,2026-09-07 07:15:58,amupanda,procurement@supplier.na,Invoice available,https://portal.example.com/2881,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00003,2026-09-07 07:23:06,nghifindaka,no-reply@microsoft.com,Monthly statement,,agenda.xlsx,pass,pass,pass,known-good,ALLOW,Clean reputation
E00004,2026-09-07 07:32:27,nambala,no-reply@microsoft.com,Purchase order update,https://portal.example.com/4686,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00005,2026-09-07 07:43:17,mbandeka,newsletter@industry.org,Password expiry notice,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00006,2026-09-07 08:02:26,tshivute,alerts@vendor.com,Password expiry notice,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00007,2026-09-07 08:09:53,haufiku,no-reply@microsoft.com,Security awareness reminder,https://portal.example.com/6821,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00008,2026-09-07 08:11:02,mbandeka,alerts@vendor.com,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00009,2026-09-07 08:25:50,mukwambi,billing@cloudservice.com,Invoice available,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00010,2026-09-07 09:40:58,kndjavera,statements@banking-partner.na,Service notification,https://portal.example.com/7300,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00011,2026-09-07 09:58:05,tshivute,no-reply@microsoft.com,Monthly statement,https://portal.example.com/1234,statement.pdf,pass,pass,pass,known-good,ALLOW,Clean reputation
E00012,2026-09-07 09:58:57,katjiuongua,procurement@supplier.na,Service notification,https://portal.example.com/1408,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00013,2026-09-07 10:00:57,sankwasa,no-reply@microsoft.com,Industry newsletter,,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00014,2026-09-07 10:03:35,tkamati,no-reply@microsoft.com,Industry newsletter,https://portal.example.com/4264,,pass,pass,pass,known-good,ALLOW,Clean reputation
E00015,2026-09-07 11:14:10,murorua,no-reply@microsoft.com,Industry newsletter,https://portal.example.com/8081,,pass,pass,pass,known-good,ALLOW,Clean reputation
