event_id,timestamp,user_id,source_asset,destination_domain,destination_ip,method,bytes_out,category,dlp_rule,action,file_name
D00001,2026-09-07 06:17:01,jkavari,WKST-FIN-021,microsoft.com,197.188.203.241,GET,31997,Business,NONE,ALLOW,
D00002,2026-09-07 06:26:32,sankwasa,WKST-PRC-008,zoom.us,102.134.129.4,GET,74744,Business,NONE,ALLOW,
D00003,2026-09-07 06:34:49,tkamati,WKST-CS-011,microsoft.com,104.21.139.251,POST,43416,Business,NONE,ALLOW,
D00004,2026-09-07 06:51:59,nambala,WKST-SWK-012,dropbox.com,104.21.30.250,POST,45255,Cloud Storage,NONE,ALLOW,
D00005,2026-09-07 06:53:18,pnakale,WKST-HR-002,github.com,102.134.120.58,POST,41583,Cloud Storage,NONE,ALLOW,
D00006,2026-09-07 06:57:26,jkavari,WKST-FIN-021,dropbox.com,197.188.11.163,CONNECT,144479,Cloud Storage,NONE,ALLOW,
D00007,2026-09-07 07:07:36,nnakale,WKST-CS-006,bankofnamibia.org.na,102.134.127.205,POST,37704,Business,NONE,ALLOW,
D00008,2026-09-07 07:25:14,amupanda,WKST-CMP-003,dropbox.com,102.134.220.131,POST,15465,Cloud Storage,NONE,ALLOW,
D00009,2026-09-07 07:34:35,sankwasa,WKST-PRC-008,nust.na,196.44.155.35,GET,7380,Business,NONE,ALLOW,
D00010,2026-09-07 07:54:45,sihuhua,WKST-SWK-008,salesforce.com,102.134.134.46,POST,83130,Business,NONE,ALLOW,
D00011,2026-09-07 07:58:06,nduminga,WKST-SWK-002,salesforce.com,102.134.253.104,CONNECT,8259,Business,NONE,ALLOW,
D00012,2026-09-07 07:59:39,hamukwaya,WKST-TRY-007,salesforce.com,196.44.77.158,POST,17594,Business,NONE,ALLOW,
D00013,2026-09-07 08:00:15,amupanda,WKST-CMP-003,github.com,102.134.167.36,GET,128176,Cloud Storage,NONE,ALLOW,
D00014,2026-09-07 08:01:57,tjirera,WKST-AUD-004,salesforce.com,102.134.17.104,GET,35559,Business,NONE,ALLOW,
D00015,2026-09-07 08:11:25,katjiuongua,WKST-IT-012,nust.na,102.134.228.81,POST,6908,Business,NONE,ALLOW,
D00016,2026-09-07 08:36:03,nduminga,WKST-SWK-002,bankofnamibia.org.na,104.21.212.247,CONNECT,158233,Business,NONE,ALLOW,
