event_id,timestamp,user_id,source_ip,country,city,device_id,result,mfa_result,client_version
V00001,2026-09-07 07:07:09,tshivute,197.188.210.185,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00002,2026-09-07 07:24:25,tshivute,197.188.127.164,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00003,2026-09-07 07:41:08,ndjaba,197.188.200.226,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00004,2026-09-07 07:44:08,murorua,197.188.227.132,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00005,2026-09-07 08:28:27,tjirera,197.188.73.163,NA,Windhoek,CORP-WKST-AUD-004,SUCCESS,APPROVED,7.2.4
V00006,2026-09-07 08:38:47,mhaingura,197.188.154.200,NA,Windhoek,CORP-WKST-CS-017,FAILURE,NOT_SENT,7.2.4
V00007,2026-09-07 09:27:07,ndjaba,197.188.94.131,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00008,2026-09-07 09:29:38,hamukwaya,197.188.127.28,NA,Windhoek,CORP-WKST-TRY-007,SUCCESS,APPROVED,7.2.4
V00009,2026-09-07 09:36:18,shilongo,197.188.68.172,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00010,2026-09-07 09:45:47,ntinda,197.188.162.122,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00011,2026-09-07 09:52:38,kndjavera,197.188.187.119,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00012,2026-09-07 10:03:15,nnakale,197.188.167.92,NA,Windhoek,CORP-WKST-CS-006,SUCCESS,APPROVED,7.2.4
V00013,2026-09-07 10:16:42,tkamati,197.188.104.161,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00014,2026-09-07 10:22:19,ntinda,197.188.132.222,NA,Windhoek,CORP-WKST-MKT-010,SUCCESS,APPROVED,7.2.4
V00015,2026-09-07 10:45:53,murorua,197.188.192.208,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00016,2026-09-07 11:00:11,murorua,197.188.221.204,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00017,2026-09-07 11:21:03,tkamati,197.188.188.100,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00018,2026-09-07 11:22:20,tshivute,197.188.144.157,NA,Windhoek,CORP-WKST-FIN-004,SUCCESS,APPROVED,7.2.4
V00019,2026-09-07 11:34:33,kndjavera,197.188.210.80,NA,Windhoek,CORP-WKST-CMP-009,SUCCESS,APPROVED,7.2.4
V00020,2026-09-07 11:50:34,pnakale,197.188.222.113,NA,Windhoek,CORP-WKST-HR-002,SUCCESS,APPROVED,7.2.4
V00021,2026-09-07 12:43:44,nduminga,197.188.64.37,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
V00022,2026-09-07 13:00:12,ndjaba,197.188.165.211,NA,Ondangwa,CORP-WKST-OND-004,SUCCESS,APPROVED,7.2.4
V00023,2026-09-07 13:09:11,nambala,197.188.80.224,NA,Swakopmund,CORP-WKST-SWK-012,SUCCESS,APPROVED,7.2.4
V00024,2026-09-07 13:10:34,mbandeka,197.188.51.148,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00025,2026-09-07 13:11:23,shilongo,197.188.156.34,NA,Windhoek,CORP-WKST-LOAN-018,SUCCESS,APPROVED,7.2.4
V00026,2026-09-07 13:20:56,tkamati,197.188.59.60,NA,Windhoek,CORP-WKST-CS-011,SUCCESS,APPROVED,7.2.4
V00027,2026-09-07 13:26:48,mbandeka,197.188.14.162,NA,Windhoek,CORP-WKST-LGL-005,SUCCESS,APPROVED,7.2.4
V00028,2026-09-07 13:36:03,nghifindaka,197.188.187.215,NA,Windhoek,CORP-WKST-IT-005,SUCCESS,APPROVED,7.2.4
V00029,2026-09-07 13:38:14,jkavari,197.188.81.59,NA,Windhoek,CORP-WKST-FIN-021,SUCCESS,APPROVED,7.2.4
V00030,2026-09-07 13:54:55,nghifindaka,197.188.167.42,NA,Windhoek,CORP-WKST-IT-005,SUCCESS,APPROVED,7.2.4
V00031,2026-09-07 14:02:38,hamukwaya,197.188.12.35,NA,Windhoek,CORP-WKST-TRY-007,SUCCESS,APPROVED,7.2.4
V00032,2026-09-07 14:10:19,murorua,197.188.195.155,NA,Windhoek,CORP-WKST-RSK-006,SUCCESS,APPROVED,7.2.4
V00033,2026-09-07 14:18:07,katjiuongua,197.188.222.37,NA,Windhoek,CORP-WKST-IT-012,SUCCESS,APPROVED,7.2.4
V00034,2026-09-07 14:46:07,nghifindaka,197.188.73.1,NA,Windhoek,CORP-WKST-IT-005,SUCCESS,APPROVED,7.2.4
V00035,2026-09-07 14:50:25,mukwambi,197.188.25.109,NA,Windhoek,CORP-WKST-HR-014,SUCCESS,APPROVED,7.2.4
V00036,2026-09-07 15:13:35,sihuhua,197.188.74.202,NA,Swakopmund,CORP-WKST-SWK-008,SUCCESS,APPROVED,7.2.4
V00037,2026-09-07 15:43:34,haufiku,197.188.22.115,NA,Windhoek,CORP-WKST-SOC-003,SUCCESS,APPROVED,7.2.4
V00038,2026-09-07 16:02:08,nduminga,197.188.36.216,NA,Swakopmund,CORP-WKST-SWK-002,SUCCESS,APPROVED,7.2.4
